latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-14.33211,130.13193,319.42,1.07,1.03,6/17/2024,1:05,T,60,6.1NRT,302.63,10.56,D
-14.34265,130.14038,320.84,1.07,1.03,6/17/2024,1:05,T,54,6.1NRT,303.55,11.64,D
-14.3532,130.14886,329.05,1.07,1.03,6/17/2024,1:05,T,83,6.1NRT,304.21,21.83,D
-14.39115,130.0285,315.82,1.07,1.03,6/17/2024,1:05,T,67,6.1NRT,303.05,8.39,D
-14.45216,130.19899,313.53,1.08,1.04,6/17/2024,1:05,T,56,6.1NRT,302.95,6.46,D
-14.84869,133.02605,314.88,1.6,1.24,6/17/2024,1:05,T,68,6.1NRT,300.61,17.19,D
-14.48075,130.14844,315.48,1.08,1.04,6/17/2024,1:05,T,66,6.1NRT,303.42,8.57,D
-13.17813,132.10207,319.59,1.31,1.14,6/17/2024,1:05,T,72,6.1NRT,304.29,14.81,D
-12.43429,133.8317,314.13,1.69,1.28,6/17/2024,1:05,T,66,6.1NRT,299.31,17.09,D
-12.36788,133.84673,312.37,1.69,1.28,6/17/2024,1:05,T,62,6.1NRT,300.21,13.57,D
-14.84934,133.01952,312.73,1.6,1.24,6/17/2024,1:05,T,64,6.1NRT,300.24,15.03,D
-14.47718,129.7841,316.58,1.05,1.02,6/17/2024,1:05,T,68,6.1NRT,303.63,7.85,D
-14.64455,130.8624,313.07,1.16,1.07,6/17/2024,1:05,T,60,6.1NRT,301.35,7.45,D
-14.66188,129.99126,313.84,1.07,1.03,6/17/2024,1:05,T,60,6.1NRT,303.73,5.87,D
-14.66322,130.00099,317.02,1.07,1.03,6/17/2024,1:05,T,68,6.1NRT,303.67,8.73,D
-14.68427,130.01791,328.69,1.07,1.03,6/17/2024,1:05,T,82,6.1NRT,305.29,20.48,D
-14.69346,130.01662,325.82,1.07,1.03,6/17/2024,1:05,T,80,6.1NRT,303.38,17.87,D
-14.69481,130.02638,323.53,1.07,1.03,6/17/2024,1:05,T,77,6.1NRT,305.02,14.5,D
-15.02812,131.35609,310.75,1.25,1.11,6/17/2024,1:05,T,56,6.1NRT,300.27,6.24,D
-14.43865,126.9788,313.9,1.06,1.03,6/17/2024,1:05,T,43,6.1NRT,302.26,5.83,D
-18.43961,126.53896,315.87,1.03,1.01,6/17/2024,1:05,T,67,6.1NRT,302.3,8.44,D
-17.46652,125.72385,317.39,1.11,1.05,6/17/2024,1:05,T,69,6.1NRT,301.4,12.27,D
-17.4241,125.79981,309.4,1.1,1.05,6/17/2024,1:05,T,37,6.1NRT,298.62,4.9,D
-16.98165,124.92308,316.06,1.23,1.1,6/17/2024,1:05,T,67,6.1NRT,303.7,10.61,D
-16.94863,124.90527,315.88,1.24,1.1,6/17/2024,1:05,T,67,6.1NRT,302.6,9.86,D
-17.07759,128.63965,352.88,1.02,1.01,6/17/2024,1:05,T,97,6.1NRT,306.28,60.99,D
-17.07626,128.63026,373.67,1.01,1.01,6/17/2024,1:05,T,100,6.1NRT,307.28,123.67,D
-17.07494,128.62088,325.67,1.01,1.01,6/17/2024,1:05,T,80,6.1NRT,300.91,17.47,D
-17.04711,128.42468,324.91,1.01,1,6/17/2024,1:05,T,80,6.1NRT,301.46,16.66,D
-17.04579,128.41537,315.13,1.01,1,6/17/2024,1:05,T,68,6.1NRT,302.09,6.96,D
-17.0726,128.66913,320.27,1.02,1.01,6/17/2024,1:05,T,36,6.1NRT,303.77,9.36,D
-17.07128,128.65976,323.78,1.02,1.01,6/17/2024,1:05,T,60,6.1NRT,303.71,12.84,D
-17.06731,128.63164,345.37,1.01,1.01,6/17/2024,1:05,T,93,6.1NRT,303.65,46.45,D
-17.06599,128.62227,316.78,1.01,1.01,6/17/2024,1:05,T,67,6.1NRT,300.86,8.6,D
-17.06232,128.66113,327.38,1.02,1.01,6/17/2024,1:05,T,55,6.1NRT,302.95,16.52,D
-17.07581,128.82265,333.47,1.02,1.01,6/17/2024,1:05,T,86,6.1NRT,301.43,27.77,D
-16.3317,124.45195,316.47,1.34,1.15,6/17/2024,1:05,T,66,6.1NRT,300.79,16.1,D
-16.46649,136.83336,310.26,3.3,1.72,6/17/2024,1:05,T,50,6.1NRT,299.07,28.2,D
-12.53208,134.06818,311.92,1.77,1.3,6/17/2024,1:05,T,61,6.1NRT,300.44,12.5,D
-21.32419,120.47549,312.58,2.06,1.4,6/17/2024,1:07,T,62,6.1NRT,298.93,17.03,D
-21.32249,120.48201,313.73,2.06,1.4,6/17/2024,1:07,T,66,6.1NRT,299.04,20.64,D
-19.7029,127.48718,309.99,1,1,6/17/2024,1:07,T,51,6.1NRT,298.77,5.2,D
-21.4072,120.43869,312.98,2.07,1.4,6/17/2024,1:07,T,65,6.1NRT,298.51,19.88,D
-21.40844,120.43154,318.78,2.07,1.4,6/17/2024,1:07,T,72,6.1NRT,298.41,32.69,D
-21.4037,120.4194,311.72,2.07,1.4,6/17/2024,1:07,T,62,6.1NRT,297.64,16.93,D
29.2305,19.70694,311.27,1,1,6/17/2024,1:09,A,82,6.1NRT,290.5,11.15,N
28.83797,22.11262,304.9,1.09,1.04,6/17/2024,1:09,A,62,6.1NRT,293.18,7.68,N
29.04105,20.78703,307.48,1.01,1,6/17/2024,1:09,A,72,6.1NRT,294.74,7.12,N
28.90699,19.77301,335.69,1,1,6/17/2024,1:09,A,100,6.1NRT,293.54,37.33,N
28.90552,19.78303,320.41,1,1,6/17/2024,1:09,A,100,6.1NRT,293.6,18.63,N
28.90277,20.95612,314.34,1.02,1.01,6/17/2024,1:09,A,89,6.1NRT,294.62,12.93,N
29.07268,19.06514,322.87,1.02,1.01,6/17/2024,1:09,A,100,6.1NRT,292.2,22.49,N
27.64868,22.50494,317.83,1.17,1.08,6/17/2024,1:09,A,96,6.1NRT,294.43,19.94,N
29.05872,20.79052,305.86,1.01,1,6/17/2024,1:09,A,66,6.1NRT,294.77,6.12,N
28.91581,19.77465,324.21,1,1,6/17/2024,1:09,A,100,6.1NRT,293.54,22.97,N
27.98634,22.32438,314.03,1.14,1.06,6/17/2024,1:09,A,88,6.1NRT,292.44,16.01,N
27.99015,19.90788,307.83,1,1,6/17/2024,1:09,A,73,6.1NRT,292.89,8.66,N
28.91434,19.78467,307.69,1,1,6/17/2024,1:09,A,72,6.1NRT,291.53,8.73,N
29.23197,19.69686,334.8,1,1,6/17/2024,1:09,A,100,6.1NRT,291.12,36.37,N
